C,o,m,p,a,n,i,e,s
ReSurge,Provider of seismic data licensing. The company focuses on acquiring and licensing seismic data assets in Western Canada. [Keyword: earthquake],IT Services,Canada,$150.00M,,06/02/2009,Growth Equity,$150.00M
Hero K12,"Hero K12 wants to help principals and administrators have a profound and positive impact on every student in grades K-12. Hero is a school-wide system to capture and collect data, and with the data, allow schools to replace traditional discipline policies with initiatives that emphasize and recognize positive behaviors.",Education & Training Software,United States,$150.00M,,06/19/2017,Private Equity,$150.00M
Emerging Markets Property Group,"The Emerging Markets Property Group (EMPG) owns and operates property verticals in emerging markets, primarily in the Middle East and South Asia. The group's flagship ventures are Bayut.com in the UAE, Zameen.com in Pakistan and Bproperty.com in Bangladesh.",Internet Software & Services,United Arab Emirates,$279.00M,2015,04/28/2020,Series E,$150.00M
Snapdocs,Snapdocs is a real estate technology company that helps the many participants in a real estate closing work together through integration and automation.,Internet Software & Services,United States,$250.00M,2012,05/25/2021,Series D,$150.00M
The Lifetime Value Co.,"The Lifetime Value Co. is an information services technology platform comprising a portfolio of brands that provide easy access to information to help make all of life’s decisions, big and small. LTV’s brands include web-based and mobile products that put the power of data into the hands of customers. Millions of people trust LTV for insight into people, properties, businesses, and vehicles.",Internet Software & Services,United States,$150.00M,2007,12/17/2020,Private Equity,$150.00M
Formlabs,"Formlabs designs and manufactures 3D printing systems for engineers, designers, and artists.",Computer Storage & Peripherals,United States,$261.25M,2011,05/19/2021,Series E,$150.00M
Republic,Republic operates as a crowdfunding platform for startups. Republic democratizes investing and levels out the fundraising landscape for founders and investors alike. It is SEC-registered and FINRA-licensed.Republic is a spinoff of AngelList and started off as a crowdfunding platform that allowed accredited and also non-accredited investors to invest in early-stage ventures.,eCommerce,United States,$218.60M,2016,10/19/2021,Series B,$150.00M
Branded,"Branded is a global platform that partners with and invests in consumer products and marketplace brands online. The company's goal is to acquire proven Amazon brands and grow them by 100x leveraging its global network and expertise in marketing, merchandising, supply chain, and product development.",eCommerce,Germany,$150.00M,2020,02/09/2021,Series A,$150.00M
Enfusion,"Enfusion (NYSE:ENFN) is a provider of native SaaS-based investment management technology solutions and services that enables clients to operate from a single golden source of data from the front-office to the back. A platform to boost agility, Enfusion delivers software, managed services and analytics to investment managers and hedge funds.",Internet Software & Services,United States,$156.00M,1997,01/11/2021,Private Equity,$150.00M
Aiwujiwu,"Aiwujiwu is the operator of iwjw.com, a China-based O2O housing info service.",Internet Software & Services,China,$305.00M,2014,11/13/2015,Series E,$150.00M
Constant,Constant develops cloud infrastructure and storage solutions.,Internet Software & Services,United States,$150.00M,,04/24/2021,Line of Credit,$150.00M
Unite Us,"Unite Us is an outcome-focused technology company that builds coordinated care networks to connect health and social service providers together. Unite Us interconnects providers around each patient, integrating the social determinants of health into care delivery.",Internet Software & Services,United States,$195.30M,2014,03/16/2021,Series C,$150.00M
Vidio,"Vidio is an over-the-top video streaming service. The service's content consists of free-to-air and subscription channels, live streaming, films and dramas, and television.",Internet Software & Services,Indonesia,$150.00M,2014,11/01/2021,Private Equity,$150.00M
CyrusOne,"CyrusOne (NASDAQ:CONE) is an owner, operator and developer of Enterprise-class and carrier-neutral data center properties. Enterprise-class, carrier-neutral data centers are purpose-built facilities with redundant power, cooling and telecommunications systems and that are not network-specific, enabling customer interconnectivity to a range of telecommunications carriers.",IT Services,United States,$150.00M,2000,11/16/2009,Debt,$150.00M
Cloudwise,Cloudwise offers cloud application performance management (APM) and SaaS IT monitoring services for enterprises. The company's products have provided intelligent performance management services for users across multiple industries.,Internet Software & Services,China,$312.00M,2009,07/22/2021,Series E,$150.00M
Matillion,"Matillion provides a complete data integration and transformation solution that is purpose-built for the cloud and cloud data warehouses. Optimized for modern enterprise data teams, Matillion is built on native integrations to cloud data platforms such as Snowflake, Delta Lake on Databricks, Amazon Redshift, Google BigQuery, and Microsoft Azure Synapse to enable new levels of efficiency and productivity across any organization.",Internet Software & Services,United Kingdom,$310.32M,2011,09/15/2021,Series E,$150.00M
