Companies,Description,Industry,Country,Total Funding,Founded Year,Latest Funding Data,Latest Funding Round,Latest Funding Amount
Within3,"Within3 is a provider of digital collaboration solutions for the health and life sciences markets. By utilizing Within3's technology, clients can efficiently convene and engage with groups of health professionals from around the world.",Internet Software & Services,United States,$100.00M,2008,09/24/2020,Growth Equity,$100.00M
EHSY,EHSY is an MRO industrial products B2B e-commerce platform.,eCommerce,China,$100.00M,,02/06/2019,Series D,$100.00M
Scorpion,"Scorpion is an Internet marketing company that provides website design, search engine optimization (SEO), pay-per-click (PPC) advertising, video advertising, online reputation management, social media services, and other services.",Internet Software & Services,United States,$100.00M,2001,04/14/2021,Private Equity,$100.00M
Gem,"Gem is an all-in-one recruiting platform that integrates with LinkedIn, Gmail, Outlook, and ATS.",Internet Software & Services,United States,$146.00M,2017,09/28/2021,Series C,$100.00M
Loft,Loft is an online real estate marketplace for buying and selling apartments.,eCommerce,Brazil,$788.00M,2018,04/22/2021,Series D - II,$100.00M
ZeroDown,"ZeroDown provides a homeownership solution in the Bay Area. ZeroDown purchases homes for customers, then helps them work toward ownership with monthly payments determined by income.",Internet Software & Services,United States,$140.15M,2018,08/26/2019,Debt,$100.00M
RVshare,RVshare is a peer-to-peer RV rental marketplace.,eCommerce,United States,$164.25M,2013,10/21/2020,Private Equity - II,$100.00M
Deepexi,"Deepexi focuses on the application of big data and AI technology in providing retail, manufacturing and customer marketing services.",Internet Software & Services,China,$254.17M,2018,08/20/2021,Series B,$100.00M
Offchain Labs,"Offchain Labs builds a suite of scaling solutions for Ethereum. This includes Arbitrum Rollup, an EVM-compatible rollup that is currently live on an open, public, and full-featured testnet. Arbitrum Rollup instantly scales Dapps, reducing costs and increasing capacity, without sacrificing on security. Porting contracts to Arbitrum requires no code changes or downloads, as Arbitrum is fully compatible with all existing Ethereum developer tooling.",Gaming,United States,$123.70M,2018,08/31/2021,Series B,$100.00M
Khatabook,Khatabook is a personal accounting platform for managing credit via a digital ledger app that helps small and medium businesses to track its transactions.,Internet Software & Services,India,$186.50M,2018,08/24/2021,Series C,$100.00M
Rossum,"Rossum develops artificial intelligence that understands complex structured documents, enabling companies to capture data from financial documents efficiently and with human-level accuracy.",IT Services,Czech Republic,$104.50M,2017,10/20/2021,Series A,$100.00M
Proxicoin,"Proxicoin is a securities token built on the Ethereum platform which allows fractionalized ownership in film, television, music and other IP-driven content where every day qualified investors can participate in the Hollywood industry in a capacity previously available only to large, elite institutions.",Internet Software & Services,United States,$100.00M,2019,05/23/2019,Series A,$100.00M
Notable,"Notable is a AI platform that automates and structures every physician-patient interaction. It is a voice-driven app built for Apple Watch, which utilizes voice wake features that allow clinicians to complete an encounter. The smart assistant automatically structures conversations, dictations, orders, and recommends the appropriate billing codes.",Mobile Software & Services,United States,$116.75M,2017,11/03/2021,Series B,$100.00M
Hometap,"Hometap offers a home equity investment platform that provides near-immediate access to funds for homeowners to address important financial needs or to pursue future opportunities. In addition, the company offers accredited investors the ability to participate in an asset class with low correlation to the U.S. stock market and hedge against inflation, while allowing homeowners to retain control and responsibility for their homes.",Internet Software & Services,United States,$112.00M,2017,12/11/2019,Series B,$100.00M
StreamElements,StreamElements is a streaming platform that helps live content creators grow and monetize their streams.,Internet Software & Services,Israel,$111.30M,2016,09/22/2021,Series B,$100.00M
Haitunjia,Haitunjia is a cosmetics e-commerce platform.,eCommerce,China,$100.00M,,06/12/2019,Series C,$100.00M
Bubble,"Bubble is a no-code platform to create interactive, multi-user apps for desktop, and mobile web browsers, including all the features needed to build a site like Facebook or Airbnb.",Internet Software & Services,United States,$106.25M,2012,07/27/2021,Series A,$100.00M
EcoFlow,EcoFlow Tech is a battery startup company that focuses on the development of portable battery products.,Electrical Product Distribution,China,$110.59M,2017,06/10/2021,Series B,$100.00M
OpenSea,"OpenSea operates as a peer-to-peer marketplace for crypto goods, which include non-fungible tokens (NFTs), collectibles, gaming items, and other virtual goods backed by a blockchain. On OpenSea, anyone can buy or sell crypto goods through a smart contract.",eCommerce,United States,$125.12M,2017,07/20/2021,Series B,$100.00M
Fabric,"Fabric offers an online platform providing digital services and solutions for e-commerce websites. The company offers digital consultations, product management services, and performance marketing services for e-commerce companies.",eCommerce,United States,$152.58M,2017,07/20/2021,Series B,$100.00M
SIMON Markets,"SIMON Markets is a financial technology company delivering an intelligent platform for financial advisors to access structured investments and other packaged products. The SIMON platform provides financial advisors with extensive educational content, robust analytics, and lifecycle management tools to help them accomplish their clients' investment objectives.",Internet Software & Services,United States,$100.00M,,07/22/2021,Series B,$100.00M
